# t(1)   sumvx(2)   sumvy(3)   sumvz(4)    kenergy(5)   penergy(6)   energy(7)   red_temp(8)
0.06755 nan nan nan nan 4.60559e+19 nan nan
0.0676 nan nan nan nan 1.31062e+12 nan nan
0.06765 nan nan nan nan 1.92129e+14 nan nan
0.0677 nan nan nan nan 3.49166e+15 nan nan
0.06775 nan nan nan nan 4.37374e+11 nan nan
0.0678 nan nan nan nan 1.27959e+11 nan nan
0.06785 nan nan nan nan 2.99216e+12 nan nan
0.0679 nan nan nan nan 5.27926e+13 nan nan
0.06795 nan nan nan nan 7.90303e+14 nan nan
0.068 nan nan nan nan 3.53603e+12 nan nan
0.06805 nan nan nan nan 7.65814e+14 nan nan
0.0681 nan nan nan nan 1.69626e+14 nan nan
0.06815 nan nan nan nan 1.61356e+16 nan nan
0.0682 nan nan nan nan 8.59193e+11 nan nan
0.06825 nan nan nan nan 1.04952e+13 nan nan
0.0683 nan nan nan nan 4.91536e+14 nan nan
0.06835 nan nan nan nan 3.12367e+12 nan nan
0.0684 nan nan nan nan 9.59526e+12 nan nan
0.06845 nan nan nan nan 2.4187e+13 nan nan
0.0685 nan nan nan nan 4.52458e+14 nan nan
0.06855 nan nan nan nan 3.77638e+12 nan nan
0.0686 nan nan nan nan 1.34621e+13 nan nan
0.06865 nan nan nan nan 1.5562e+17 nan nan
0.0687 nan nan nan nan 3.00796e+15 nan nan
0.06875 nan nan nan nan 4.80054e+16 nan nan
0.0688 nan nan nan nan 1.30885e+15 nan nan
0.06885 nan nan nan nan 1.12995e+12 nan nan
0.0689 nan nan nan nan 4.68642e+15 nan nan
0.06895 nan nan nan nan 1.85614e+17 nan nan
0.069 nan nan nan nan 4.54871e+15 nan nan
0.06905 nan nan nan nan 3.66841e+11 nan nan
0.0691 nan nan nan nan 9.53455e+12 nan nan
0.06915 nan nan nan nan 3.6644e+16 nan nan
0.0692 nan nan nan nan 7.45343e+12 nan nan
0.06925 nan nan nan nan 4.41302e+13 nan nan
0.0693 nan nan nan nan 1.70052e+12 nan nan
0.06935 nan nan nan nan 6.02743e+13 nan nan
0.0694 nan nan nan nan 5.74243e+16 nan nan
0.06945 nan nan nan nan 1.52549e+12 nan nan
0.0695 nan nan nan nan 3.37936e+17 nan nan
0.06955 nan nan nan nan 4.33585e+13 nan nan
0.0696 nan nan nan nan 1.448e+13 nan nan
0.06965 nan nan nan nan 3.42581e+18 nan nan
0.0697 nan nan nan nan 3.4101e+11 nan nan
0.06975 nan nan nan nan 1.31953e+12 nan nan
0.0698 nan nan nan nan 3.72223e+14 nan nan
0.06985 nan nan nan nan 9.38898e+13 nan nan
0.0699 nan nan nan nan 1.00919e+13 nan nan
0.06995 nan nan nan nan 7.49443e+12 nan nan
0.07 nan nan nan nan 1.09573e+14 nan nan
0.07005 nan nan nan nan 7.11872e+13 nan nan
0.0701 nan nan nan nan 7.48683e+13 nan nan
0.07015 nan nan nan nan 2.89236e+12 nan nan
0.0702 nan nan nan nan 1.51256e+14 nan nan
0.07025 nan nan nan nan 1.16811e+14 nan nan
0.0703 nan nan nan nan 1.53075e+14 nan nan
0.07035 nan nan nan nan 1.2433e+14 nan nan
0.0704 nan nan nan nan 3.66456e+17 nan nan
0.07045 nan nan nan nan 5.15688e+13 nan nan
0.0705 nan nan nan nan 8.33118e+17 nan nan
0.07055 nan nan nan nan 2.82696e+12 nan nan
0.0706 nan nan nan nan 4.72521e+16 nan nan
0.07065 nan nan nan nan 2.4307e+13 nan nan
0.0707 nan nan nan nan 2.24826e+18 nan nan
0.07075 nan nan nan nan 5.18567e+11 nan nan
0.0708 nan nan nan nan 3.84519e+16 nan nan
0.07085 nan nan nan nan 5.48774e+13 nan nan
0.0709 nan nan nan nan 4.63218e+15 nan nan
0.07095 nan nan nan nan 5.44229e+13 nan nan
0.071 nan nan nan nan 1.12588e+14 nan nan
0.07105 nan nan nan nan 4.80333e+11 nan nan
0.0711 nan nan nan nan 2.83218e+16 nan nan
0.07115 nan nan nan nan 9.69182e+15 nan nan
0.0712 nan nan nan nan 7.98878e+12 nan nan
0.07125 nan nan nan nan 5.42348e+13 nan nan
0.0713 nan nan nan nan 5.77653e+13 nan nan
0.07135 nan nan nan nan 4.71644e+12 nan nan
0.0714 nan nan nan nan 4.11103e+14 nan nan
0.07145 nan nan nan nan 4.38019e+11 nan nan
0.0715 nan nan nan nan 6.04466e+14 nan nan
0.07155 nan nan nan nan 1.59949e+14 nan nan
0.0716 nan nan nan nan 8.46643e+13 nan nan
0.07165 nan nan nan nan 3.09818e+20 nan nan
0.0717 nan nan nan nan 2.30571e+16 nan nan
0.07175 nan nan nan nan 4.72085e+13 nan nan
0.0718 nan nan nan nan 7.38162e+11 nan nan
0.07185 nan nan nan nan 6.30384e+12 nan nan
0.0719 nan nan nan nan 1.70325e+17 nan nan
0.07195 nan nan nan nan 4.2883e+14 nan nan
0.072 nan nan nan nan 2.00358e+16 nan nan
0.07205 nan nan nan nan 3.5645e+14 nan nan
0.0721 nan nan nan nan 3.86069e+15 nan nan
0.07215 nan nan nan nan 1.24448e+12 nan nan
0.0722 nan nan nan nan 8.61238e+17 nan nan
0.07225 nan nan nan nan 2.14833e+13 nan nan
0.0723 nan nan nan nan 2.5262e+13 nan nan
0.07235 nan nan nan nan 5.30032e+12 nan nan
0.0724 nan nan nan nan 7.20468e+10 nan nan
0.07245 nan nan nan nan 5.93493e+12 nan nan
0.0725 nan nan nan nan 1.25349e+12 nan nan
0.07255 nan nan nan nan 1.87928e+11 nan nan
0.0726 nan nan nan nan 4.33712e+12 nan nan
0.07265 nan nan nan nan 2.45896e+11 nan nan
0.0727 nan nan nan nan 1.63418e+12 nan nan
0.07275 nan nan nan nan 1.50741e+11 nan nan
0.0728 nan nan nan nan 9.7518e+11 nan nan
0.07285 nan nan nan nan 2.66588e+12 nan nan
0.0729 nan nan nan nan 6.04954e+11 nan nan
0.07295 nan nan nan nan 1.34534e+12 nan nan
0.073 nan nan nan nan 3.00984e+12 nan nan
0.07305 nan nan nan nan 3.68998e+12 nan nan
0.0731 nan nan nan nan 4.6013e+16 nan nan
0.07315 nan nan nan nan 6.1871e+15 nan nan
0.0732 nan nan nan nan 7.93843e+11 nan nan
0.07325 nan nan nan nan 6.35683e+14 nan nan
0.0733 nan nan nan nan 8.06826e+13 nan nan
0.07335 nan nan nan nan 2.39953e+12 nan nan
0.0734 nan nan nan nan 1.2984e+13 nan nan
0.07345 nan nan nan nan 2.46242e+12 nan nan
0.0735 nan nan nan nan 1.9373e+14 nan nan
0.07355 nan nan nan nan 3.03857e+16 nan nan
0.0736 nan nan nan nan 6.56255e+12 nan nan
0.07365 nan nan nan nan 1.10333e+12 nan nan
0.0737 nan nan nan nan 4.46395e+12 nan nan
0.07375 nan nan nan nan 1.55146e+14 nan nan
0.0738 nan nan nan nan 2.97929e+12 nan nan
0.07385 nan nan nan nan 1.21925e+16 nan nan
0.0739 nan nan nan nan 7.89526e+13 nan nan
0.07395 nan nan nan nan 1.08219e+12 nan nan
0.074 nan nan nan nan 3.05557e+20 nan nan
0.07405 nan nan nan nan 1.21234e+12 nan nan
0.0741 nan nan nan nan 8.28652e+19 nan nan
0.07415 nan nan nan nan 5.27429e+14 nan nan
0.0742 nan nan nan nan 1.78633e+13 nan nan
0.07425 nan nan nan nan 3.85405e+14 nan nan
0.0743 nan nan nan nan 4.27184e+14 nan nan
0.07435 nan nan nan nan 4.20304e+14 nan nan
0.0744 nan nan nan nan 7.09065e+14 nan nan
0.07445 nan nan nan nan 8.51732e+17 nan nan
0.0745 nan nan nan nan 5.56718e+12 nan nan
0.07455 nan nan nan nan 6.76215e+18 nan nan
0.0746 nan nan nan nan 8.34136e+12 nan nan
0.07465 nan nan nan nan 1.3146e+18 nan nan
0.0747 nan nan nan nan 2.87769e+11 nan nan
0.07475 nan nan nan nan 1.65801e+13 nan nan
0.0748 nan nan nan nan 1.02228e+12 nan nan
0.07485 nan nan nan nan 3.1753e+12 nan nan
0.0749 nan nan nan nan 3.70682e+14 nan nan
0.07495 nan nan nan nan 3.09889e+11 nan nan
0.075 nan nan nan nan 4.65251e+13 nan nan
0.07505 nan nan nan nan 5.25458e+11 nan nan
0.0751 nan nan nan nan 4.88098e+15 nan nan
0.07515 nan nan nan nan 8.6992e+11 nan nan
0.0752 nan nan nan nan 4.10209e+12 nan nan
0.07525 nan nan nan nan 3.12e+13 nan nan
0.0753 nan nan nan nan 5.50687e+12 nan nan
0.07535 nan nan nan nan 5.8812e+15 nan nan
0.0754 nan nan nan nan 1.65862e+12 nan nan
0.07545 nan nan nan nan 1.8857e+13 nan nan
