#    t(1)      varx(2)      vary(3)      varz(3)
2.71 0.161465 0.184225 0.191186
2.7105 0.161978 0.184631 0.191828
2.711 0.162498 0.185036 0.192466
2.7115 0.163024 0.185441 0.193099
2.712 0.163557 0.185845 0.193729
2.7125 0.164098 0.186251 0.194355
2.713 0.164646 0.186656 0.194977
2.7135 0.165204 0.187064 0.195598
2.714 0.165768 0.187472 0.196218
2.7145 0.166341 0.187881 0.196838
2.715 0.16692 0.188292 0.197461
2.7155 0.167505 0.188704 0.198086
2.716 0.168095 0.189118 0.198717
2.7165 0.168687 0.189534 0.199354
2.717 0.169281 0.189951 0.199999
2.7175 0.169876 0.190369 0.200653
2.718 0.170468 0.190788 0.201317
2.7185 0.171059 0.191208 0.201991
2.719 0.171647 0.191626 0.202678
2.7195 0.172232 0.192042 0.203378
2.72 0.172813 0.192455 0.20409
2.7205 0.17339 0.192865 0.204814
2.721 0.173963 0.193269 0.205551
2.7215 0.174533 0.193671 0.206297
2.722 0.175098 0.194071 0.207053
2.7225 0.17566 0.194472 0.207815
2.723 0.176219 0.194875 0.208581
2.7235 0.176773 0.195282 0.209348
2.724 0.177324 0.195697 0.210113
2.7245 0.177871 0.196118 0.210875
2.725 0.178416 0.196549 0.211631
2.7255 0.178957 0.196988 0.212378
2.726 0.179497 0.197435 0.213116
2.7265 0.180035 0.19789 0.213841
2.727 0.180572 0.19835 0.214552
2.7275 0.181108 0.198815 0.215247
2.728 0.181645 0.199282 0.215922
2.7285 0.182182 0.19975 0.216577
2.729 0.182719 0.200218 0.217208
2.7295 0.183256 0.200684 0.217813
2.73 0.183793 0.201148 0.21839
2.7305 0.184328 0.201609 0.21894
2.731 0.18486 0.202067 0.219463
2.7315 0.185388 0.202521 0.21996
2.732 0.185912 0.202971 0.220433
2.7325 0.186431 0.203418 0.220886
2.733 0.186946 0.203861 0.221322
2.7335 0.187458 0.204299 0.221745
2.734 0.187968 0.204734 0.222159
2.7345 0.188479 0.205165 0.222568
2.735 0.188992 0.205594 0.222975
2.7355 0.189511 0.20602 0.223384
2.736 0.190038 0.206446 0.223798
2.7365 0.190576 0.206872 0.224218
2.737 0.191128 0.207299 0.224647
2.7375 0.191694 0.207729 0.225087
2.738 0.192278 0.208162 0.225537
2.7385 0.192879 0.2086 0.225999
2.739 0.193497 0.209043 0.226473
2.7395 0.194131 0.209491 0.22696
2.74 0.194782 0.209946 0.22746
2.7405 0.195447 0.210405 0.227972
2.741 0.196127 0.210871 0.228498
2.7415 0.19682 0.211343 0.229039
2.742 0.197526 0.211819 0.229594
2.7425 0.198244 0.2123 0.230163
2.743 0.198971 0.212784 0.230747
2.7435 0.199707 0.21327 0.231346
2.744 0.20045 0.213756 0.231959
2.7445 0.201197 0.214242 0.232588
2.745 0.201946 0.214727 0.23323
2.7455 0.202696 0.21521 0.233886
2.746 0.203442 0.21569 0.234555
2.7465 0.204185 0.216165 0.235237
2.747 0.20492 0.216636 0.235932
2.7475 0.205649 0.217102 0.236639
2.748 0.20637 0.217562 0.237359
2.7485 0.207083 0.218015 0.238092
2.749 0.207789 0.21846 0.238838
2.7495 0.208487 0.218897 0.239597
2.75 0.209177 0.219324 0.240367
2.7505 0.209861 0.21974 0.241149
2.751 0.210537 0.220146 0.241942
2.7515 0.211207 0.22054 0.242745
2.752 0.211869 0.220923 0.243555
2.7525 0.212523 0.221293 0.244371
2.753 0.213169 0.221652 0.245193
2.7535 0.213805 0.222001 0.246017
2.754 0.214429 0.222339 0.246844
2.7545 0.215041 0.22267 0.24767
2.755 0.215639 0.222992 0.248495
2.7555 0.216222 0.223309 0.249316
2.756 0.216787 0.223622 0.250133
2.7565 0.217334 0.22393 0.250944
2.757 0.217862 0.224237 0.251746
2.7575 0.218371 0.224541 0.252539
2.758 0.218862 0.224845 0.253321
2.7585 0.219336 0.225146 0.254091
2.759 0.219795 0.225448 0.254848
